"gene","nint","nsig","z","npos","nneg","posfrac","enriched","posstrict","pos","negstrict","neg","allstrict","all","SA","SApos","SAneg","type","DAsign","SAsign","driver","canonical","oncogene","tsgene"
"MYBL1",2,0,-0.272976425781161,0,0,0,0,1,4,0,0,1,4,1,1,0,"BCT","negative","positive",1,0,0,0
"MYBL2",29,6,3.52330530553636,6,0,1,0,5,9,0,1,5,10,5,3,0,"BCT","positive","positive",1,0,0,0
"MYBPC1",9,1,0.845401183546069,1,0,1,0,0,2,1,1,1,3,1,0,1,"BCT","positive","negative",0,0,0,0
"MYBPC2",11,0,-0.7,0,0,0,0,0,1,0,0,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"MYBPC3",11,2,1.05608941349524,2,0,1,0,0,0,0,0,0,0,0,0,0,"BCT","positive","none",0,0,0,0
"MYBPH",4,0,-0.589363552987765,0,0,0,0,1,3,0,0,1,3,1,1,0,"BCT","negative","positive",0,0,0,0
"MYBPHL",2,0,-0.367423461417476,0,0,0,0,0,0,1,0,1,0,1,0,1,"BCT","negative","negative",0,0,0,0
"MYC",447,39,0.46446299948984,34,5,0.871794871794872,0,2,8,1,1,3,9,3,2,1,"BCT","positive","both",1,1,1,0
"MYCBP",19,3,2.32617323442126,3,0,1,0,1,6,1,1,2,7,2,1,1,"BCT","positive","both",0,0,0,0
"MYCBP2",29,2,0.160183480110204,0,2,0,0,0,3,0,5,0,8,0,0,0,"BCT","negative","none",1,0,0,0
"MYCBPAP",9,1,0.464499878961796,0,1,0,0,0,1,0,0,0,1,0,0,0,"BCT","negative","none",0,0,0,0
"MYCN",223,11,-0.465530727652497,9,2,0.818181818181818,0,0,4,0,3,0,7,0,0,0,"BCT","positive","none",1,1,1,0
"MYCT1",2,1,2.46605526528271,0,1,0,0,1,4,1,3,2,7,2,1,1,"BCT","negative","both",0,0,0,0
"MYD88",24,1,-0.411108351970462,1,0,1,0,0,5,2,3,2,8,2,0,2,"BCT","positive","negative",1,1,1,0
"MYEF2",29,1,-0.451392782951258,0,1,0,0,1,4,2,4,3,8,3,1,2,"BCT","negative","both",0,0,0,0
"MYEOV",2,0,-0.381210048290219,0,0,0,0,2,4,2,0,4,4,4,2,2,"BCT","negative","both",0,0,0,0
"MYF5",8,2,2.20697361523207,0,2,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"MYF6",15,0,-1.06001254429743,0,0,0,0,1,1,0,0,1,1,1,1,0,"BCT","negative","positive",0,0,0,0
"MYH1",19,1,-0.152177182050536,1,0,1,0,0,1,0,0,0,1,0,0,0,"BCT","positive","none",0,0,0,0
"MYH10",78,8,1.02826219972743,0,8,0,0,0,7,1,1,1,8,1,0,1,"BCT","negative","negative",0,0,0,0
"MYH11",26,1,-0.390777737715199,0,1,0,0,0,5,2,1,2,6,2,0,2,"BCT","negative","negative",0,0,0,0
"MYH13",17,3,2.0342523482425,1,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,"BCT","mixed","none",0,0,0,0
"MYH14",48,3,0.00520807361654606,0,3,0,0,0,3,2,3,2,6,2,0,2,"BCT","negative","negative",0,0,0,0
"MYH15",8,0,-0.6497682056717,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"MYH2",18,2,0.742454591743893,0,2,0,0,0,1,0,0,0,1,0,0,0,"BCT","negative","none",1,0,0,0
"MYH3",11,0,-0.1,0,0,0,0,0,1,0,1,0,2,0,0,0,"BCT","negative","none",0,0,0,0
"MYH4",15,0,-0.804238770515324,0,0,0,0,0,0,0,1,0,1,0,0,0,"BCT","negative","none",1,0,0,0
"MYH6",15,0,-0.869947242896065,0,0,0,0,0,0,0,0,0,0,0,0,0,"BCT","negative","none",0,0,0,0
"MYH7",16,1,0.273849003207237,1,0,1,0,0,1,0,0,0,1,0,0,0,"BCT","positive","none",1,0,0,0
