"gene","nint","nsig","z","npos","nneg","posfrac","enriched","canonical","oncogenes","tsgenes","role","type"
"ELOVL3",8,1,1.4246122736149,1,0,1,0,0,0,0,"unknown","WCT"
"EMG1",168,16,0.553468542833624,15,1,0.9375,0,0,0,0,"unknown","WCT"
"EML4",142,6,-0.359946910655796,1,5,0.166666666666667,0,0,0,0,"unknown","WCT"
"EML5",14,2,1.85586744257823,1,1,0.5,0,0,0,0,"unknown","WCT"
"EN1",98,2,-0.703934300263905,1,1,0.5,0,0,0,0,"unknown","WCT"
"EN2",7,0,-0.574456264653803,0,0,NA,0,0,0,0,"unknown","WCT"
"ENC1",43,6,1.74205084438261,4,2,0.666666666666667,0,0,0,0,"unknown","WCT"
"ENTPD6",46,5,1.43538359078741,5,0,1,0,0,0,0,"unknown","WCT"
"EOMES",28,0,-0.742273801324005,0,0,NA,0,0,0,0,"unknown","WCT"
"EP300",639,106,3.03326003418491,86,20,0.811320754716981,0,1,0,1,"TSG","WCT"
"EP400",146,1,-1.07884396894114,0,1,0,0,0,0,0,"unknown","WCT"
"EPAS1",159,14,1.13376889094885,10,4,0.714285714285714,0,1,0,0,"unknown","WCT"
"EPB41",147,12,0.719650405730891,6,6,0.5,0,0,0,0,"unknown","WCT"
"EPB41L3",245,25,1.68726966765044,14,11,0.56,0,0,0,0,"unknown","WCT"
"EPC1",76,7,0.961566023628539,3,4,0.428571428571429,0,0,0,0,"unknown","WCT"
"EPG5",10,1,0.66,0,1,0,0,0,0,0,"unknown","WCT"
"EPHA1",251,35,2.60893405513647,26,9,0.742857142857143,0,0,0,0,"unknown","WCT"
"EPHA2",357,41,2.81976219272644,20,21,0.48780487804878,0,0,0,0,"unknown","WCT"
"EPHA3",116,9,0.592980149501327,1,8,0.111111111111111,0,1,0,0,"unknown","WCT"
"EPHA4",197,11,0.15893784750073,4,7,0.363636363636364,0,0,0,0,"unknown","WCT"
"EPHA5",148,4,-0.615539510420646,2,2,0.5,0,0,0,0,"unknown","WCT"
"EPHA6",53,4,0.776954655424218,2,2,0.5,0,0,0,0,"unknown","WCT"
"EPHA7",256,9,-0.414532615604097,5,4,0.555555555555556,0,1,0,0,"unknown","WCT"
"EPHB1",69,3,-0.157840608750728,1,2,0.333333333333333,0,0,0,0,"unknown","WCT"
"EPHB4",165,9,0.0951365506641832,4,5,0.444444444444444,0,0,0,0,"unknown","WCT"
"EPHB6",111,5,-0.311040366114224,3,2,0.6,0,0,0,0,"unknown","WCT"
"EPPK1",159,14,0.912753426769453,4,10,0.285714285714286,0,0,0,0,"unknown","WCT"
"EPS15",268,15,0.0980961853810542,10,5,0.666666666666667,0,1,0,1,"TSG","WCT"
"EPS8L1",47,1,-0.712061343073116,0,1,0,0,0,0,0,"unknown","WCT"
"EPYC",3,0,-0.344673758792281,0,0,NA,0,0,0,0,"unknown","WCT"
"ERBB2",421,50,1.8588439409706,24,26,0.48,0,1,1,0,"OG","WCT"
"ERBB3",264,9,-0.428719613804049,4,5,0.444444444444444,0,1,1,0,"OG","WCT"
"ERBB4",166,6,-0.312346321955935,2,4,0.333333333333333,0,1,1,0,"OG","WCT"
"ERCC2",150,5,-0.406741418633094,1,4,0.2,0,1,0,1,"TSG","WCT"
"ERCC3",224,4,-0.832853515586366,3,1,0.75,0,1,0,1,"TSG","WCT"
"ERCC4",131,12,1.01850442075434,3,9,0.25,0,1,0,1,"TSG","WCT"
"ERCC5",103,17,2.48682819944697,8,9,0.470588235294118,0,1,0,1,"TSG","WCT"
"ERCC6",222,7,-0.505419649006295,2,5,0.285714285714286,0,0,0,0,"unknown","WCT"
"ERCC6L2",4,1,1.68715261074601,1,0,1,0,0,0,0,"unknown","WCT"
"ERF",91,7,0.632733906835585,4,3,0.571428571428571,0,0,0,0,"unknown","WCT"
"ERG",186,5,-0.51150994612343,4,1,0.8,0,1,1,0,"OG","WCT"
"ERGIC3",283,31,1.81167966922588,21,10,0.67741935483871,0,0,0,0,"unknown","WCT"
"ERI1",39,0,-0.811318068488823,0,0,NA,0,0,0,0,"unknown","WCT"
"ERN2",26,1,-0.056660188634387,1,0,1,0,0,0,0,"unknown","WCT"
"ERRFI1",100,6,0.22684634097087,2,4,0.333333333333333,0,0,0,0,"unknown","WCT"
"ESPL1",75,5,0.463519673042085,3,2,0.6,0,0,0,0,"unknown","WCT"
"ESR1",1448,63,-0.348474924026605,50,13,0.793650793650794,0,1,1,0,"OG","WCT"
"ESRRG",73,2,-0.545283774810573,1,1,0.5,0,0,0,0,"unknown","WCT"
"ETNK1",17,0,-0.788147492915022,0,0,NA,0,1,0,1,"TSG","WCT"
"ETS1",147,3,-0.754242881317433,3,0,1,0,0,0,0,"unknown","WCT"
"ETV1",31,0,-0.910465140077427,0,0,NA,0,1,1,0,"OG","WCT"
"ETV3",95,2,-0.762921553560616,2,0,1,0,0,0,0,"unknown","WCT"
"ETV4",70,6,1.33372706314068,3,3,0.5,0,1,1,0,"OG","WCT"
"ETV5",37,3,0.631817654380674,3,0,1,0,1,1,0,"OG","WCT"
"ETV6",95,3,-0.337270556814999,2,1,0.666666666666667,0,1,0,1,"TSG","WCT"
"EVC2",88,6,0.32674060004199,5,1,0.833333333333333,0,0,0,0,"unknown","WCT"
"EVI2A",20,4,2.77752285402536,1,3,0.25,0,0,0,0,"unknown","WCT"
"EVPL",96,2,-0.736194315226608,1,1,0.5,0,0,0,0,"unknown","WCT"
"EWSR1",756,73,1.37778878482829,25,48,0.342465753424658,0,1,1,0,"OG","WCT"
"EXOC2",104,5,-0.00547730856520398,3,2,0.6,0,0,0,0,"unknown","WCT"
"EXOC7",132,7,0.157122872746754,4,3,0.571428571428571,0,0,0,0,"unknown","WCT"
"EXOC8",147,6,-0.317542923923457,1,5,0.166666666666667,0,0,0,0,"unknown","WCT"
"EXPH5",44,3,0.350208291780936,2,1,0.666666666666667,0,0,0,0,"unknown","WCT"
"EXT1",49,4,0.986324651332394,3,1,0.75,0,1,0,1,"TSG","WCT"
"EXT2",73,5,0.469980302359207,3,2,0.6,0,1,0,1,"TSG","WCT"
"EYA1",42,1,-0.536293804194834,1,0,1,0,0,0,0,"unknown","WCT"
"EYA4",75,5,0.311238356247784,4,1,0.8,0,0,0,0,"unknown","WCT"
"EZH1",96,1,-0.89260386943789,1,0,1,0,0,0,0,"unknown","WCT"
"EZH2",707,12,-0.838485869781061,1,11,0.0833333333333333,0,1,1,0,"OG","WCT"
"EZR",572,17,-0.549248301447063,11,6,0.647058823529412,0,0,0,0,"unknown","WCT"
"F5",83,4,-0.0932530405056401,3,1,0.75,0,0,0,0,"unknown","WCT"
"F8",81,8,1.51581517627018,8,0,1,0,0,0,0,"unknown","WCT"
"FAAH2",2,0,-0.251379174478918,0,0,NA,0,0,0,0,"unknown","WCT"
"FAHD2B",11,0,-0.696939036389073,0,0,NA,0,0,0,0,"unknown","WCT"
"FAM111A",51,1,-0.424189278440751,0,1,0,0,0,0,0,"unknown","WCT"
"FAM111B",21,1,-0.0832050294337844,1,0,1,0,0,0,0,"unknown","WCT"
"FAM117A",13,1,0.431091745107563,1,0,1,0,0,0,0,"unknown","WCT"
"FAM117B",50,3,0.193322015419578,1,2,0.333333333333333,0,0,0,0,"unknown","WCT"
"FAM118B",68,1,-0.994567601323661,1,0,1,0,0,0,0,"unknown","WCT"
"FAM133A",68,1,-0.866625537032107,1,0,1,0,0,0,0,"unknown","WCT"
"FAM135B",17,1,0.0815125468993174,0,1,0,0,1,0,0,"unknown","WCT"
"FAM167A",91,5,0.0740843294198444,2,3,0.4,0,0,0,0,"unknown","WCT"
"FAM171A1",85,12,1.99029677186943,10,2,0.833333333333333,0,0,0,0,"unknown","WCT"
"FAM171B",44,0,-0.933604455280439,0,0,NA,0,0,0,0,"unknown","WCT"
"FAM177B",2,0,-0.203100960115899,0,0,NA,0,0,0,0,"unknown","WCT"
"FAM221B",22,3,1.73495868134942,0,3,0,0,0,0,0,"unknown","WCT"
"FAM227B",14,0,-0.597582959403645,0,0,NA,0,0,0,0,"unknown","WCT"
