"gene","nint","nsig","z","npos","nneg","posfrac","enriched","posstrict","pos","negstrict","neg","allstrict","all","SA","SApos","SAneg","type","DAsign","SAsign","driver","canonical","oncogene","tsgene"
"FDFT1",22,2,1.11687888910826,1,1,0.5,0,1,6,2,2,3,8,3,1,2,"WCT","mixed","both",0,0,0,0
"FDPS",34,3,1.25722165633973,2,1,0.666666666666667,0,1,7,1,2,2,9,2,1,1,"WCT","mixed","both",0,0,0,0
"FDX1",13,3,2.42832290619517,2,1,0.666666666666667,0,0,2,1,3,1,5,1,0,1,"WCT","mixed","negative",1,0,0,0
"FDXACB1",2,0,-0.367423461417476,0,0,0,0,1,2,0,3,1,5,1,1,0,"WCT","negative","positive",0,0,0,0
"FDXR",10,1,1.01447496574271,0,1,0,0,0,1,0,5,0,6,0,0,0,"WCT","negative","none",1,0,0,0
"FECH",24,5,3.07560344486416,4,1,0.8,0,0,4,1,3,1,7,1,0,1,"WCT","positive","negative",0,0,0,0
"FEM1A",22,2,0.839990963029106,1,1,0.5,0,0,0,2,4,2,4,2,0,2,"WCT","mixed","negative",1,0,0,0
"FEM1B",16,0,-0.901485210796207,0,0,0,0,0,4,1,2,1,6,1,0,1,"WCT","negative","negative",0,0,0,0
"FEM1C",10,0,-0.81258584280485,0,0,0,0,0,5,0,3,0,8,0,0,0,"WCT","negative","none",0,0,0,0
"FEN1",48,4,1.25546666821223,2,2,0.5,0,4,7,1,3,5,10,5,3,1,"WCT","mixed","both",1,1,0,1
"FER",33,1,-0.5153734142324,1,0,1,0,0,8,1,1,1,9,1,0,1,"WCT","positive","negative",0,0,0,0
"FER1L6",2,0,-0.434248118673447,0,0,0,0,0,1,0,2,0,3,0,0,0,"WCT","negative","none",0,0,0,0
"FERD3L",5,0,-0.642923413373566,0,0,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",1,0,0,0
"FERMT1",7,2,2.78839460170178,1,1,0.5,0,1,5,0,4,1,9,1,1,0,"WCT","mixed","positive",0,0,0,0
"FERMT2",40,6,3.34296212597351,3,3,0.5,0,0,9,1,2,1,11,1,0,1,"WCT","mixed","negative",0,0,0,0
"FERMT3",10,2,2.19255497018827,2,0,1,0,0,5,1,5,1,10,1,0,1,"WCT","positive","negative",0,0,0,0
"FES",33,4,1.84803869514124,4,0,1,0,3,7,0,7,3,14,3,3,0,"WCT","positive","positive",1,1,0,0
"FETUB",3,1,2.37272727272727,1,0,1,0,0,0,0,3,0,3,0,0,0,"WCT","positive","none",0,0,0,0
"FEV",80,8,2.36527507066748,4,4,0.5,0,0,0,0,1,0,1,0,0,0,"WCT","mixed","none",1,1,1,0
"FEZ1",24,1,-0.21345925502654,1,0,1,0,0,3,0,2,0,5,0,0,0,"WCT","positive","none",0,0,0,0
"FEZ2",11,2,2.58253241687506,1,1,0.5,0,2,8,1,1,3,9,3,2,1,"WCT","mixed","both",0,0,0,0
"FEZF1",7,1,1.73227371380046,1,0,1,0,0,1,0,2,0,3,0,0,0,"WCT","positive","none",0,0,0,0
"FEZF2",2,0,-0.367423461417476,0,0,0,0,0,0,0,1,0,1,0,0,0,"WCT","negative","none",0,0,0,0
"FFAR1",26,2,0.709099196466118,1,1,0.5,0,0,0,0,1,0,1,0,0,0,"WCT","mixed","none",0,0,0,0
"FFAR2",15,1,0.364722973090777,0,1,0,0,1,2,0,4,1,6,1,1,0,"WCT","negative","positive",0,0,0,0
"FFAR3",4,1,1.73227371380046,1,0,1,0,0,0,0,0,0,0,0,0,0,"WCT","positive","none",0,0,0,0
"FGA",37,3,0.91468954053916,3,0,1,0,1,5,1,0,2,5,2,1,1,"WCT","positive","both",1,0,0,0
"FGB",48,6,2.62816588194112,5,1,0.833333333333333,0,0,4,0,1,0,5,0,0,0,"WCT","positive","none",1,0,0,0
"FGD1",14,1,0.255919530135678,0,1,0,0,0,7,1,1,1,8,1,0,1,"WCT","negative","negative",0,0,0,0
"FGD2",5,1,1.18811499892639,0,1,0,0,0,3,1,5,1,8,1,0,1,"WCT","negative","negative",0,0,0,0
"FGD3",2,0,-0.336902337055378,0,0,0,0,0,2,2,4,2,6,2,0,2,"WCT","negative","negative",0,0,0,0
"FGD4",4,0,-0.48502322083842,0,0,0,0,0,7,1,4,1,11,1,0,1,"WCT","negative","negative",0,0,0,0
"FGD5",38,3,0.653480341540746,1,2,0.333333333333333,0,0,3,1,4,1,7,1,0,1,"WCT","mixed","negative",0,0,0,0
"FGD6",11,5,6.33437520285358,2,3,0.4,1,2,11,0,1,2,12,2,2,0,"WCT","mixed","positive",0,0,0,0
"FGF1",25,2,0.483802789079756,2,0,1,0,0,5,2,3,2,8,2,0,2,"WCT","positive","negative",0,0,0,0
"FGF10",30,3,1.03972541891034,2,1,0.666666666666667,0,0,1,0,0,0,1,0,0,0,"WCT","mixed","none",0,0,0,0
"FGF11",58,2,-0.595743445837157,1,1,0.5,0,0,7,0,3,0,10,0,0,0,"WCT","mixed","none",0,0,0,0
"FGF12",39,3,0.699217855003096,1,2,0.333333333333333,0,0,4,1,3,1,7,1,0,1,"WCT","mixed","negative",0,0,0,0
"FGF13",52,3,0.298823634718571,0,3,0,0,0,5,0,5,0,10,0,0,0,"WCT","negative","none",0,0,0,0
"FGF14",26,2,0.49419926434352,0,2,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FGF16",31,2,0.483802789079756,1,1,0.5,0,0,0,0,0,0,0,0,0,0,"WCT","mixed","none",0,0,0,0
"FGF17",36,3,0.8011667316284,0,3,0,0,0,0,0,0,0,0,0,0,0,"WCT","negative","none",0,0,0,0
"FGF18",26,2,0.820483323862418,1,1,0.5,0,0,2,0,2,0,4,0,0,0,"WCT","mixed","none",0,0,0,0
"FGF19",21,3,2.6607600366281,1,2,0.333333333333333,0,0,6,0,1,0,7,0,0,0,"WCT","mixed","none",1,0,0,0
"FGF2",32,1,-0.567256965445874,0,1,0,0,1,2,0,3,1,5,1,1,0,"WCT","negative","positive",1,0,0,0
"FGF20",28,2,0.513382171059001,2,0,1,0,0,0,0,1,0,1,0,0,0,"WCT","positive","none",0,0,0,0
"FGF21",20,1,0.207020909072926,0,1,0,0,0,0,0,1,0,1,0,0,0,"WCT","negative","none",0,0,0,0
"FGF22",27,3,1.42425925900187,2,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,"WCT","mixed","none",0,0,0,0
